id,name,type,test_type_codes,test_type_labels,job_family,job_levels,industry,remote_testing,adaptive_irt,duration_minutes,description,languages,url,use_cases,keywords
11,Branch Manager - Short Form,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Front Line Manager | Graduate | Manager | Supervisor,,True,False,30,"Branch Manager - Short Form is a pre-packaged SHL job assessment solution measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for front line manager people manager direct reports shift manager line manager; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in business roles. Used for hiring screening selection evaluation recruitment. cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment front line manager people manager direct reports shift manager line manager graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior business professional assessment screening evaluation hiring Branch Manager Short Form",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Talent Acquisition,branch manager - short form | ability & aptitude | biodata & situational judgement | personality & behavior | business | front line manager | graduate | manager | supervisor | branch | short | form
12,Cashier Solution,Pre-packaged Job Solution,"B,A,P",Biodata & Situational Judgement | Ability & Aptitude | Personality & Behavior,Customer Service,Entry-Level | Graduate | Manager,Retail,True,False,45,"Cashier Solution is a pre-packaged SHL job assessment solution measuring biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations, and cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in customer service roles within Retail. Used for hiring screening selection evaluation recruitment. cashier till POS transactions cash handling returns customer service retail store biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior customer service professional assessment screening evaluation hiring retail sector assessment Cashier Solution",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/cashier-solution/,Talent Acquisition,cashier solution | biodata & situational judgement | ability & aptitude | personality & behavior | customer service | entry-level | graduate | manager | retail | cashier | solution
13,Global Skills Development Report,Individual Test,"A,E,B,C,D,P",Ability & Aptitude | Assessment Exercises | Biodata & Situational Judgement | Competencies | Development & 360 | Personality & Behavior,Business,Director | Entry-Level | Executive | Front Line Manager | General Population | Graduate | Manager | Mid-Professional | Supervisor,,True,False,60,"Global Skills Development Report is an SHL assessment measuring cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability, and assessment centre exercise in-tray leadership group discussion role play written exercise, and biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations. Suitable for director VP vice president senior director strategic leader; entry level junior no experience fresh hire school leaver first job new joiner; executive C suite CEO CFO CTO COO president board level in business roles. Supports talent development succession planning leadership pipeline. global skills development report SHL 360 comprehensive multi-measure leadership talent cognitive ability aptitude reasoning analytical thinking intelligence problem solving general mental ability assessment centre exercise in-tray leadership group discussion role play written exercise biodata situational judgement SJT workplace scenarios behavioral decision making judgment realistic situations competency framework behavioral competencies leadership capabilities UCF universal competency model 360 degree feedback multi-rater development leadership talent management succession planning personality questionnaire behavioral traits work style OPQ psychometric Big Five assessment director VP vice president senior director strategic leader entry level junior no experience fresh hire school leaver first job new joiner executive C suite CEO CFO CTO COO president board level business professional assessment screening evaluation hiring Global Skills Development Report",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Talent Acquisition | Talent Management,global skills development report | ability & aptitude | assessment exercises | biodata & situational judgement | competencies | development & 360 | personality & behavior | business | director | entry-level | executive | front line manager | general population | graduate | manager | mid-professional | supervisor | global | skills | development
14,.NET Framework 4.5,Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,.NET Framework 4.5 is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in information technology roles. Used for hiring screening selection evaluation recruitment. .NET C# ASP.NET Core Entity Framework Microsoft Windows enterprise application developer knowledge skills test technical expertise subject matter proficiency domain knowledge certification graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career information technology professional assessment screening evaluation hiring NET Framework,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Talent Acquisition,.net framework 4.5 | knowledge & skills | information technology | graduate | manager | mid-professional | professional individual contributor | net | framework
15,.NET MVC (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,.NET MVC (New) is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in information technology roles. Used for hiring screening selection evaluation recruitment. .NET C# ASP.NET Core Entity Framework Microsoft Windows enterprise application developer knowledge skills test technical expertise subject matter proficiency domain knowledge certification graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career information technology professional assessment screening evaluation hiring NET MVC New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Talent Acquisition,.net mvc (new) | knowledge & skills | information technology | graduate | manager | mid-professional | professional individual contributor | net | mvc | new
16,.NET MVVM (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,.NET MVVM (New) is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in information technology roles. Used for hiring screening selection evaluation recruitment. .NET C# ASP.NET Core Entity Framework Microsoft Windows enterprise application developer knowledge skills test technical expertise subject matter proficiency domain knowledge certification graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career information technology professional assessment screening evaluation hiring NET MVVM New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Talent Acquisition,.net mvvm (new) | knowledge & skills | information technology | graduate | manager | mid-professional | professional individual contributor | net | mvvm | new
17,.NET WCF (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,.NET WCF (New) is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in information technology roles. Used for hiring screening selection evaluation recruitment. .NET C# ASP.NET Core Entity Framework Microsoft Windows enterprise application developer knowledge skills test technical expertise subject matter proficiency domain knowledge certification graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career information technology professional assessment screening evaluation hiring NET WCF New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Talent Acquisition,.net wcf (new) | knowledge & skills | information technology | graduate | manager | mid-professional | professional individual contributor | net | wcf | new
18,.NET WPF (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,.NET WPF (New) is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in information technology roles. Used for hiring screening selection evaluation recruitment. .NET C# ASP.NET Core Entity Framework Microsoft Windows enterprise application developer knowledge skills test technical expertise subject matter proficiency domain knowledge certification graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career information technology professional assessment screening evaluation hiring NET WPF New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Talent Acquisition,.net wpf (new) | knowledge & skills | information technology | graduate | manager | mid-professional | professional individual contributor | net | wpf | new
19,.NET XAML (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,.NET XAML (New) is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior; mid level experienced professional 3 to 8 years senior associate mid career in information technology roles. Used for hiring screening selection evaluation recruitment. .NET C# ASP.NET Core Entity Framework Microsoft Windows enterprise application developer knowledge skills test technical expertise subject matter proficiency domain knowledge certification graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior mid level experienced professional 3 to 8 years senior associate mid career information technology professional assessment screening evaluation hiring NET XAML New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Talent Acquisition,.net xaml (new) | knowledge & skills | information technology | graduate | manager | mid-professional | professional individual contributor | net | xaml | new
20,Accounts Payable (New),Individual Test,K,Knowledge & Skills,Clerical,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,Banking/Finance,True,False,,Accounts Payable (New) is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in clerical roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. accounts payable AP vendor invoice payment processing reconciliation coding approval knowledge skills test technical expertise subject matter proficiency domain knowledge certification entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior clerical professional assessment screening evaluation hiring banking/finance sector assessment Accounts Payable New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Talent Acquisition,accounts payable (new) | knowledge & skills | clerical | entry-level | graduate | manager | mid-professional | professional individual contributor | banking/finance | accounts | payable | new
21,Accounts Payable Simulation (New),Individual Test,S,Simulations,Clerical,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,Banking/Finance,True,False,25,Accounts Payable Simulation (New) is an SHL assessment measuring simulation work sample realistic job preview practical task performance hands-on assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in clerical roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. accounts payable AP vendor invoice payment processing reconciliation coding approval simulation work sample realistic job preview practical task performance hands-on assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior clerical professional assessment screening evaluation hiring banking/finance sector assessment Accounts Payable Simulation New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Talent Acquisition,accounts payable simulation (new) | simulations | clerical | entry-level | graduate | manager | mid-professional | professional individual contributor | banking/finance | accounts | payable | simulation | new
22,Accounts Receivable (New),Individual Test,K,Knowledge & Skills,Clerical,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,Banking/Finance,True,False,,Accounts Receivable (New) is an SHL assessment measuring knowledge skills test technical expertise subject matter proficiency domain knowledge certification. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in clerical roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. accounts receivable AR billing invoicing collections cash posting credit control knowledge skills test technical expertise subject matter proficiency domain knowledge certification entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior clerical professional assessment screening evaluation hiring banking/finance sector assessment Accounts Receivable New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Talent Acquisition,accounts receivable (new) | knowledge & skills | clerical | entry-level | graduate | manager | mid-professional | professional individual contributor | banking/finance | accounts | receivable | new
23,Accounts Receivable Simulation (New),Individual Test,S,Simulations,Clerical,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,Banking/Finance,True,False,25,Accounts Receivable Simulation (New) is an SHL assessment measuring simulation work sample realistic job preview practical task performance hands-on assessment. Suitable for entry level junior no experience fresh hire school leaver first job new joiner; graduate university college degree early career campus hire new graduate trainee; manager department head unit manager people management mid to senior in clerical roles within Banking/Finance. Used for hiring screening selection evaluation recruitment. accounts receivable AR billing invoicing collections cash posting credit control simulation work sample realistic job preview practical task performance hands-on assessment entry level junior no experience fresh hire school leaver first job new joiner graduate university college degree early career campus hire new graduate trainee manager department head unit manager people management mid to senior clerical professional assessment screening evaluation hiring banking/finance sector assessment Accounts Receivable Simulation New,English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Talent Acquisition,accounts receivable simulation (new) | simulations | clerical | entry-level | graduate | manager | mid-professional | professional individual contributor | banking/finance | accounts | receivable | simulation | new
