id,name,type,test_type_codes,test_type_labels,job_family,job_levels,industry,remote_testing,adaptive_irt,duration_minutes,description,languages,url,use_cases,keywords,job_family_id,job_level_ids,sub_industry_ids,skill_ids,cognitive_domain_ids,ucf_competency_cluster_ids,delivery_proctoring_id,delivery_bandwidth_id,delivery_device_ids,accessibility_flags,confidence_score,confidence_band,schema_version,effective_from,valid_until,lifecycle_status,gdpr_compliant,bias_audit_required,right_to_explanation
11,Branch Manager - Short Form,Pre-packaged Job Solution,"A,B,P",Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior,Business,Front Line Manager | Graduate | Manager | Supervisor,,True,False,30.0,"Branch Manager - Short Form is a pre-packaged SHL assessment solution designed for Business hiring. It combines Ability & Aptitude and Biodata & Situational Judgement and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Front Line Manager, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Talent Acquisition,branch manager - short form | ability & aptitude | biodata & situational judgement | personality & behavior | business | branch | manager | short | form,JF_BUS_001,JL_FLM_001|JL_GRD_001|JL_MGR_001|JL_SUP_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
12,Cashier Solution,Pre-packaged Job Solution,"B,A,P",Biodata & Situational Judgement | Ability & Aptitude | Personality & Behavior,Customer Service,Entry-Level | Graduate | Manager,Retail,True,False,40.0,"Cashier Solution is a pre-packaged SHL assessment solution designed for Customer Service hiring. It combines Biodata & Situational Judgement and Ability & Aptitude and Personality & Behavior to provide a comprehensive evaluation of candidate suitability for Entry-Level, Graduate roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/cashier-solution/,Talent Acquisition,cashier solution | biodata & situational judgement | ability & aptitude | personality & behavior | customer service | cashier | solution,JF_CS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001,IND_RET_GEN_001|IND_RET_ECM_001,SKL_SOFT_COM_001|SKL_SOFT_EMP_001|SKL_SOFT_ADP_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001,CL_SC_001|CL_IP_001|CL_AC_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
13,Global Skills Development Report,Individual Test,"A,E,B,C,D,P",Ability & Aptitude | Assessment Exercises | Biodata & Situational Judgement | Competencies | Development & 360 | Personality & Behavior,Business,Director | Entry-Level | Executive | Front Line Manager | General Population | Graduate | Manager | Mid-Professional | Supervisor,,True,False,60.0,"Global Skills Development Report is an individual SHL assessment measuring Ability & Aptitude and Assessment Exercises and Biodata & Situational Judgement. Suitable for Director, Entry-Level candidates in Business roles.",English (USA) | English International | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Talent Acquisition | Talent Management,global skills development report | ability & aptitude | assessment exercises | biodata & situational judgement | competencies | development & 360 | personality & behavior | business | global | skills,JF_BUS_001,JL_DIR_001|JL_ENT_001|JL_EXC_001|JL_FLM_001|JL_GEN_001|JL_GRD_001|JL_MGR_001|JL_MID_001|JL_SUP_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
14,.NET Framework 4.5,Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,".NET Framework 4.5 is an individual SHL assessment measuring Knowledge & Skills. Suitable for Graduate, Manager candidates in Information Technology roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Talent Acquisition,.net framework 4.5 | knowledge & skills | information technology | .net | framework,JF_IT_001,JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_TECH_PY_001|SKL_TECH_SQL_001|SKL_DIG_LIT_001|SKL_TECH_CLD_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_CC_001|CL_OE_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
15,.NET MVC (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,".NET MVC (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Graduate, Manager candidates in Information Technology roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Talent Acquisition,.net mvc (new) | knowledge & skills | information technology | .net,JF_IT_001,JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_TECH_PY_001|SKL_TECH_SQL_001|SKL_DIG_LIT_001|SKL_TECH_CLD_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_CC_001|CL_OE_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
16,.NET MVVM (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,".NET MVVM (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Graduate, Manager candidates in Information Technology roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Talent Acquisition,.net mvvm (new) | knowledge & skills | information technology | .net | mvvm,JF_IT_001,JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_TECH_PY_001|SKL_TECH_SQL_001|SKL_DIG_LIT_001|SKL_TECH_CLD_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_CC_001|CL_OE_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
17,.NET WCF (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,".NET WCF (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Graduate, Manager candidates in Information Technology roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Talent Acquisition,.net wcf (new) | knowledge & skills | information technology | .net,JF_IT_001,JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_TECH_PY_001|SKL_TECH_SQL_001|SKL_DIG_LIT_001|SKL_TECH_CLD_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_CC_001|CL_OE_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
18,.NET WPF (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,".NET WPF (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Graduate, Manager candidates in Information Technology roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Talent Acquisition,.net wpf (new) | knowledge & skills | information technology | .net,JF_IT_001,JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_TECH_PY_001|SKL_TECH_SQL_001|SKL_DIG_LIT_001|SKL_TECH_CLD_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_CC_001|CL_OE_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
19,.NET XAML (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,".NET XAML (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Graduate, Manager candidates in Information Technology roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Talent Acquisition,.net xaml (new) | knowledge & skills | information technology | .net | xaml,JF_IT_001,JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_TECH_PY_001|SKL_TECH_SQL_001|SKL_DIG_LIT_001|SKL_TECH_CLD_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_CC_001|CL_OE_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
20,Accounts Payable (New),Individual Test,K,Knowledge & Skills,Business,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,"Accounts Payable (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Entry-Level, Graduate candidates in Business roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Talent Acquisition,accounts payable (new) | knowledge & skills | business | accounts | payable,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
21,Accounts Payable Simulation (New),Individual Test,S,Simulations,Business,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,25.0,"Accounts Payable Simulation (New) is an individual SHL assessment measuring Simulations. Suitable for Entry-Level, Graduate candidates in Business roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Talent Acquisition,accounts payable simulation (new) | simulations | business | accounts | payable | simulation,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
22,Accounts Receivable (New),Individual Test,K,Knowledge & Skills,Business,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,"Accounts Receivable (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Entry-Level, Graduate candidates in Business roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Talent Acquisition,accounts receivable (new) | knowledge & skills | business | accounts | receivable,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
23,Accounts Receivable Simulation (New),Individual Test,S,Simulations,Business,Entry-Level | Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,25.0,"Accounts Receivable Simulation (New) is an individual SHL assessment measuring Simulations. Suitable for Entry-Level, Graduate candidates in Business roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Talent Acquisition,accounts receivable simulation (new) | simulations | business | accounts | receivable | simulation,JF_BUS_001,JL_ENT_001|JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_CRT_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.82,MEDIUM,2.0,2026-03-01,,active,True,True,True
24,ADO.NET (New),Individual Test,K,Knowledge & Skills,Information Technology,Graduate | Manager | Mid-Professional | Professional Individual Contributor,,True,False,,"ADO.NET (New) is an individual SHL assessment measuring Knowledge & Skills. Suitable for Graduate, Manager candidates in Information Technology roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/ado-net-new/,Talent Acquisition,ado.net (new) | knowledge & skills | information technology | ado.net,JF_IT_001,JL_GRD_001|JL_MGR_001|JL_MID_001|JL_PIC_001,,SKL_TECH_PY_001|SKL_TECH_SQL_001|SKL_DIG_LIT_001|SKL_TECH_CLD_001,COG_LRN_001|COG_SPD_001,CL_AI_001|CL_CC_001|CL_OE_001,PRO_NON_001,BW_MED_001,DEV_DTP_001|DEV_MOB_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.75,MEDIUM,2.0,2026-03-01,,active,True,True,True
25,Claims/Operations Supervisor Solution,Pre-packaged Job Solution,"P,S,A,B",Personality & Behavior | Simulations | Ability & Aptitude | Biodata & Situational Judgement,Business,Graduate | Manager | Supervisor,Insurance,True,False,40.0,"Claims/Operations Supervisor Solution is a pre-packaged SHL assessment solution designed for Business hiring. It combines Personality & Behavior and Simulations and Ability & Aptitude to provide a comprehensive evaluation of candidate suitability for Graduate, Manager roles.",English (USA) | Japanese | English (South Africa),https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,Talent Acquisition,claims/operations supervisor solution | personality & behavior | simulations | ability & aptitude | biodata & situational judgement | business | claims | operations | supervisor | solution,JF_BUS_001,JL_GRD_001|JL_MGR_001|JL_SUP_001,IND_INS_LIF_001|IND_INS_GEN_001,SKL_BUS_FIN_001|SKL_BUS_STR_001|SKL_SOFT_CRT_001|SKL_BUS_OPS_001,COG_ABS_001|COG_CRT_001|COG_IND_001|COG_NUM_001|COG_VRB_001|COG_WMM_001,CL_AI_001|CL_OE_001|CL_LD_001,PRO_NON_001,BW_HGH_001,DEV_DTP_001|DEV_TAB_001,ACC_STD_001|ACC_W3C_001,0.9,HIGH,2.0,2026-03-01,,active,True,True,True
